Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
reviews_per_program,1262.6312292358805,84.32890365448505,70.14617940199335,105.21926910299004,140.2923588039867,175.3654485049834,210.43853820598008,245.51162790697674,280.5847176079734,315.6578073089701,350.7308970099668,385.80398671096344,420.87707641196016,455.9501661129568,491.0232558139535,526.0963455149501,561.1694352159468,596.2425249169435,631.3156146179402,666.3887043189369,701.4617940199336,736.5348837209302,771.6079734219269,806.6810631229235,841.7541528239203,876.827242524917,911.9003322259136,946.9734219269103,982.046511627907,1017.1196013289036,1052.1926910299003,1087.265780730897,1122.3388704318936,1157.4119601328903
reviews_per_program,1262.6312292358805,92.09634551495017,70.14617940199335,105.21926910299004,140.2923588039867,175.3654485049834,210.43853820598008,245.51162790697674,280.5847176079734,315.6578073089701,350.7308970099668,385.80398671096344,420.87707641196016,455.9501661129568,491.0232558139535,526.0963455149501,561.1694352159468,596.2425249169435,631.3156146179402,666.3887043189369,701.4617940199336,736.5348837209302,771.6079734219269,806.6810631229235,841.7541528239203,876.827242524917,911.9003322259136,946.9734219269103,982.046511627907,1017.1196013289036,1052.1926910299003,1087.265780730897,1122.3388704318936,1157.4119601328903
reviews_per_program,1262.6312292358805,88.15946843853821,70.14617940199335,105.21926910299004,140.2923588039867,175.3654485049834,210.43853820598008,245.51162790697674,280.5847176079734,315.6578073089701,350.7308970099668,385.80398671096344,420.87707641196016,455.9501661129568,491.0232558139535,526.0963455149501,561.1694352159468,596.2425249169435,631.3156146179402,666.3887043189369,701.4617940199336,736.5348837209302,771.6079734219269,806.6810631229235,841.7541528239203,876.827242524917,911.9003322259136,946.9734219269103,982.046511627907,1017.1196013289036,1052.1926910299003,1087.265780730897,1122.3388704318936,1157.4119601328903
reviews_per_program,1262.6312292358805,80.04318936877077,70.14617940199335,105.21926910299004,140.2923588039867,175.3654485049834,210.43853820598008,245.51162790697674,280.5847176079734,315.6578073089701,350.7308970099668,385.80398671096344,420.87707641196016,455.9501661129568,491.0232558139535,526.0963455149501,561.1694352159468,596.2425249169435,631.3156146179402,666.3887043189369,701.4617940199336,736.5348837209302,771.6079734219269,806.6810631229235,841.7541528239203,876.827242524917,911.9003322259136,946.9734219269103,982.046511627907,1017.1196013289036,1052.1926910299003,1087.265780730897,1122.3388704318936,1157.4119601328903
reviews_per_program,1262.6312292358805,84.29568106312293,70.14617940199335,105.21926910299004,140.2923588039867,175.3654485049834,210.43853820598008,245.51162790697674,280.5847176079734,315.6578073089701,350.7308970099668,385.80398671096344,420.87707641196016,455.9501661129568,491.0232558139535,526.0963455149501,561.1694352159468,596.2425249169435,631.3156146179402,666.3887043189369,701.4617940199336,736.5348837209302,771.6079734219269,806.6810631229235,841.7541528239203,876.827242524917,911.9003322259136,946.9734219269103,982.046511627907,1017.1196013289036,1052.1926910299003,1087.265780730897,1122.3388704318936,1157.4119601328903
reviews_per_program,1262.6312292358805,92.84385382059801,70.14617940199335,105.21926910299004,140.2923588039867,175.3654485049834,210.43853820598008,245.51162790697674,280.5847176079734,315.6578073089701,350.7308970099668,385.80398671096344,420.87707641196016,455.9501661129568,491.0232558139535,526.0963455149501,561.1694352159468,596.2425249169435,631.3156146179402,666.3887043189369,701.4617940199336,736.5348837209302,771.6079734219269,806.6810631229235,841.7541528239203,876.827242524917,911.9003322259136,946.9734219269103,982.046511627907,1017.1196013289036,1052.1926910299003,1087.265780730897,1122.3388704318936,1157.4119601328903
reviews_per_program,1262.6312292358805,71.53156146179403,70.14617940199335,105.21926910299004,140.2923588039867,175.3654485049834,210.43853820598008,245.51162790697674,280.5847176079734,315.6578073089701,350.7308970099668,385.80398671096344,420.87707641196016,455.9501661129568,491.0232558139535,526.0963455149501,561.1694352159468,596.2425249169435,631.3156146179402,666.3887043189369,701.4617940199336,736.5348837209302,771.6079734219269,806.6810631229235,841.7541528239203,876.827242524917,911.9003322259136,946.9734219269103,982.046511627907,1017.1196013289036,1052.1926910299003,1087.265780730897,1122.3388704318936,1157.4119601328903
reviews_per_program,1262.6312292358805,88.44518272425249,70.14617940199335,105.21926910299004,140.2923588039867,175.3654485049834,210.43853820598008,245.51162790697674,280.5847176079734,315.6578073089701,350.7308970099668,385.80398671096344,420.87707641196016,455.9501661129568,491.0232558139535,526.0963455149501,561.1694352159468,596.2425249169435,631.3156146179402,666.3887043189369,701.4617940199336,736.5348837209302,771.6079734219269,806.6810631229235,841.7541528239203,876.827242524917,911.9003322259136,946.9734219269103,982.046511627907,1017.1196013289036,1052.1926910299003,1087.265780730897,1122.3388704318936,1157.4119601328903
reviews_per_program,1262.6312292358805,112.22259136212625,70.14617940199335,105.21926910299004,140.2923588039867,175.3654485049834,210.43853820598008,245.51162790697674,280.5847176079734,315.6578073089701,350.7308970099668,385.80398671096344,420.87707641196016,455.9501661129568,491.0232558139535,526.0963455149501,561.1694352159468,596.2425249169435,631.3156146179402,666.3887043189369,701.4617940199336,736.5348837209302,771.6079734219269,806.6810631229235,841.7541528239203,876.827242524917,911.9003322259136,946.9734219269103,982.046511627907,1017.1196013289036,1052.1926910299003,1087.265780730897,1122.3388704318936,1157.4119601328903
reviews_per_program,1262.6312292358805,96.88039867109634,70.14617940199335,105.21926910299004,140.2923588039867,175.3654485049834,210.43853820598008,245.51162790697674,280.5847176079734,315.6578073089701,350.7308970099668,385.80398671096344,420.87707641196016,455.9501661129568,491.0232558139535,526.0963455149501,561.1694352159468,596.2425249169435,631.3156146179402,666.3887043189369,701.4617940199336,736.5348837209302,771.6079734219269,806.6810631229235,841.7541528239203,876.827242524917,911.9003322259136,946.9734219269103,982.046511627907,1017.1196013289036,1052.1926910299003,1087.265780730897,1122.3388704318936,1157.4119601328903
pct_interview_given_signal,0.0,0.737804300464147,0.3706545420100407,0.24710302800669381,0.18532727100502036,0.1482618168040163,0.12355151400334691,0.1059012977171545,0.09266363550251018,0.08236767600223127,0.07413090840200814,0.06739173491091649,0.061775757001673454,0.05702377569385242,0.05295064885857725,0.04942060560133876,0.04633181775125509,0.04360641670706362,0.041183838001115636,0.03901626758000429,0.03706545420100407,0.035300432572384834,0.033695867455458245,0.03223082974000354,0.030887878500836727,0.02965236336080326,0.02851188784692621,0.02745589200074376,0.026475324429288623,0.025562382207589017,0.02471030280066938,0.023913196258712306,0.023165908875627545,0.022463911636972166
pct_interview_given_signal,0.0,0.7377095765842568,0.3706545420100407,0.24710302800669381,0.18532727100502036,0.1482618168040163,0.12355151400334691,0.1059012977171545,0.09266363550251018,0.08236767600223127,0.07413090840200814,0.06739173491091649,0.061775757001673454,0.05702377569385242,0.05295064885857725,0.04942060560133876,0.04633181775125509,0.04360641670706362,0.041183838001115636,0.03901626758000429,0.03706545420100407,0.035300432572384834,0.033695867455458245,0.03223082974000354,0.030887878500836727,0.02965236336080326,0.02851188784692621,0.02745589200074376,0.026475324429288623,0.025562382207589017,0.02471030280066938,0.023913196258712306,0.023165908875627545,0.022463911636972166
pct_interview_given_signal,0.0,0.7391304347826086,0.3706545420100407,0.24710302800669381,0.18532727100502036,0.1482618168040163,0.12355151400334691,0.1059012977171545,0.09266363550251018,0.08236767600223127,0.07413090840200814,0.06739173491091649,0.061775757001673454,0.05702377569385242,0.05295064885857725,0.04942060560133876,0.04633181775125509,0.04360641670706362,0.041183838001115636,0.03901626758000429,0.03706545420100407,0.035300432572384834,0.033695867455458245,0.03223082974000354,0.030887878500836727,0.02965236336080326,0.02851188784692621,0.02745589200074376,0.026475324429288623,0.025562382207589017,0.02471030280066938,0.023913196258712306,0.023165908875627545,0.022463911636972166
pct_interview_given_signal,0.0,0.7374254049445865,0.3706545420100407,0.24710302800669381,0.18532727100502036,0.1482618168040163,0.12355151400334691,0.1059012977171545,0.09266363550251018,0.08236767600223127,0.07413090840200814,0.06739173491091649,0.061775757001673454,0.05702377569385242,0.05295064885857725,0.04942060560133876,0.04633181775125509,0.04360641670706362,0.041183838001115636,0.03901626758000429,0.03706545420100407,0.035300432572384834,0.033695867455458245,0.03223082974000354,0.030887878500836727,0.02965236336080326,0.02851188784692621,0.02745589200074376,0.026475324429288623,0.025562382207589017,0.02471030280066938,0.023913196258712306,0.023165908875627545,0.022463911636972166
pct_interview_given_signal,0.0,0.7360045467462347,0.3706545420100407,0.24710302800669381,0.18532727100502036,0.1482618168040163,0.12355151400334691,0.1059012977171545,0.09266363550251018,0.08236767600223127,0.07413090840200814,0.06739173491091649,0.061775757001673454,0.05702377569385242,0.05295064885857725,0.04942060560133876,0.04633181775125509,0.04360641670706362,0.041183838001115636,0.03901626758000429,0.03706545420100407,0.035300432572384834,0.033695867455458245,0.03223082974000354,0.030887878500836727,0.02965236336080326,0.02851188784692621,0.02745589200074376,0.026475324429288623,0.025562382207589017,0.02471030280066938,0.023913196258712306,0.023165908875627545,0.022463911636972166
