Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
reviews_per_program,916.207468879668,916.207468879668,916.207468879668,916.207468879668,916.207468879668,916.207468879668,916.207468879668,916.207468879668,916.207468879668,916.207468879668,916.207468879668,911.6639004149378,781.103734439834,500.0331950207469,475.07053941908714,509.00414937759336,542.9377593360996,576.8713692946058,610.804979253112,644.7385892116182,678.6721991701245,712.6058091286307,746.5394190871369,780.4730290456431,814.4066390041494
reviews_per_program,916.207468879668,916.207468879668,916.207468879668,916.207468879668,916.207468879668,916.207468879668,916.207468879668,916.207468879668,916.207468879668,916.207468879668,916.207468879668,907.7178423236514,768.6929460580913,506.19502074688796,475.07053941908714,509.00414937759336,542.9377593360996,576.8713692946058,610.804979253112,644.7385892116182,678.6721991701245,712.6058091286307,746.5394190871369,780.4730290456431,814.4066390041494
reviews_per_program,916.207468879668,916.207468879668,916.207468879668,916.207468879668,916.207468879668,916.207468879668,916.207468879668,916.207468879668,916.207468879668,916.207468879668,916.207468879668,916.207468879668,764.1867219917012,524.402489626556,475.07053941908714,509.00414937759336,542.9377593360996,576.8713692946058,610.804979253112,644.7385892116182,678.6721991701245,712.6058091286307,746.5394190871369,780.4730290456431,814.4066390041494
reviews_per_program,916.207468879668,916.207468879668,916.207468879668,916.207468879668,916.207468879668,916.207468879668,916.207468879668,916.207468879668,916.207468879668,916.207468879668,916.207468879668,916.207468879668,783.5767634854772,513.9419087136929,475.07053941908714,509.00414937759336,542.9377593360996,576.8713692946058,610.804979253112,644.7385892116182,678.6721991701245,712.6058091286307,746.5394190871369,780.4730290456431,814.4066390041494
reviews_per_program,916.207468879668,916.207468879668,916.207468879668,916.207468879668,916.207468879668,916.207468879668,916.207468879668,916.207468879668,916.207468879668,916.207468879668,916.207468879668,911.954356846473,795.792531120332,504.4066390041494,476.9253112033195,509.00414937759336,542.9377593360996,576.8713692946058,610.804979253112,644.7385892116182,678.6721991701245,712.6058091286307,746.5394190871369,780.4730290456431,814.4066390041494
reviews_per_program,916.207468879668,916.207468879668,916.207468879668,916.207468879668,916.207468879668,916.207468879668,916.207468879668,916.207468879668,916.207468879668,916.207468879668,916.207468879668,913.9917012448133,785.8174273858921,517.5933609958506,478.63900414937757,509.00414937759336,542.9377593360996,576.8713692946058,610.804979253112,644.7385892116182,678.6721991701245,712.6058091286307,746.5394190871369,780.4730290456431,814.4066390041494
reviews_per_program,916.207468879668,916.207468879668,916.207468879668,916.207468879668,916.207468879668,916.207468879668,916.207468879668,916.207468879668,916.207468879668,916.207468879668,916.207468879668,916.207468879668,790.3900414937759,506.18257261410787,478.92116182572613,509.00414937759336,542.9377593360996,576.8713692946058,610.804979253112,644.7385892116182,678.6721991701245,712.6058091286307,746.5394190871369,780.4730290456431,814.4066390041494
reviews_per_program,916.207468879668,916.207468879668,916.207468879668,916.207468879668,916.207468879668,916.207468879668,916.207468879668,916.207468879668,916.207468879668,916.207468879668,916.207468879668,916.207468879668,775.4232365145228,513.3900414937759,478.655601659751,509.00414937759336,542.9377593360996,576.8713692946058,610.804979253112,644.7385892116182,678.6721991701245,712.6058091286307,746.5394190871369,780.4730290456431,814.4066390041494
reviews_per_program,916.207468879668,916.207468879668,916.207468879668,916.207468879668,916.207468879668,916.207468879668,916.207468879668,916.207468879668,916.207468879668,916.207468879668,916.207468879668,909.7551867219917,790.5892116182573,522.0331950207469,477.0414937759336,509.00414937759336,542.9377593360996,576.8713692946058,610.804979253112,644.7385892116182,678.6721991701245,712.6058091286307,746.5394190871369,780.4730290456431,814.4066390041494
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9997332088307878,0.9933459688595419,0.9498560866866076,0.8839220207525417,0.8251406211787723,0.7735693323550991,0.7280652539812696,0.6876171843156436,0.6514268061937676,0.6188554658840792,0.5893861579848374,0.5625958780764356,0.5381351877252863,0.5157128882367327
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999888837012828,0.9932746392761066,0.9484545779483418,0.8840792369772561,0.8251406211787723,0.7735693323550991,0.7280652539812696,0.6876171843156436,0.6514268061937676,0.6188554658840792,0.5893861579848374,0.5625958780764356,0.5381351877252863,0.5157128882367327
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998332555192423,0.9919091872503465,0.9491882536636755,0.8840355658037243,0.8251406211787723,0.7735693323550991,0.7280652539812696,0.6876171843156436,0.6514268061937676,0.6188554658840792,0.5893861579848374,0.5625958780764356,0.5381351877252863,0.5157128882367327
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998666044153939,0.9918582375478927,0.9490659743777865,0.8839482234566607,0.8251406211787723,0.7735693323550991,0.7280652539812696,0.6876171843156436,0.6514268061937676,0.6188554658840792,0.5893861579848374,0.5625958780764356,0.5381351877252863,0.5157128882367327
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99168500855955,0.9477867449254096,0.8840355658037243,0.8251406211787723,0.7735693323550991,0.7280652539812696,0.6876171843156436,0.6514268061937676,0.6188554658840792,0.5893861579848374,0.5625958780764356,0.5381351877252863,0.5157128882367327
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9912366511779571,0.949442218334368,0.8840792369772561,0.8251243172739872,0.7735693323550991,0.7280652539812696,0.6876171843156436,0.6514268061937676,0.6188554658840792,0.5893861579848374,0.5625958780764356,0.5381351877252863,0.5157128882367327
