Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
pct_interview_given_nosignal,0.5289240625588845,0.5084425000614446,0.4860989773369649,0.4616275000672966,0.4347088750706614,0.4049567106006962,0.37189875007851264,0.3349516177301899,0.29338609383832676,0.24627850009421517,0.19244125010094484,0.13116203562783552,0.06951510583506061,0.020967161724651833,0.0031091011871113624,0.00033498733329145994,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.5289240625588845,0.5084425000614446,0.4860989773369649,0.4616275000672966,0.4347088750706614,0.4049567106006962,0.37189875007851264,0.3349516177301899,0.29338609383832676,0.24627850009421517,0.19244125010094484,0.13149541244510154,0.0683688210539539,0.0219435736677116,0.005521009986809874,0.00043967087494504114,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.5289240625588845,0.5084425000614446,0.4860989773369649,0.4616275000672966,0.4347088750706614,0.4049567106006962,0.37189875007851264,0.3349516177301899,0.29338609383832676,0.24627850009421517,0.19245470941344317,0.13108956240669073,0.06703410589787073,0.02249173475855217,0.004051253061993594,0.0007746582082365011,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.5289240625588845,0.5084425000614446,0.4860989773369649,0.4616275000672966,0.4347088750706614,0.4049567106006962,0.37189875007851264,0.3349516177301899,0.29338609383832676,0.24627850009421517,0.19252200597593475,0.13107506776246178,0.06770931474153634,0.020162050122479742,0.003127944224609007,0.0003977974582836086,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.5289240625588845,0.5084425000614446,0.4860989773369649,0.4616275000672966,0.4347088750706614,0.4049567106006962,0.37189875007851264,0.3349516177301899,0.29338609383832676,0.24627850009421517,0.19245470941344317,0.13197373570465712,0.06910684002261165,0.022371824519930795,0.003768607499528924,0.0007746582082365011,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.5289240625588845,0.5084425000614446,0.4860989773369649,0.4616275000672966,0.4347088750706614,0.4049567106006962,0.37189875007851264,0.3349516177301899,0.29338609383832676,0.24627850009421517,0.19245470941344317,0.13175631604122276,0.06888700458513912,0.020007879815680835,0.005313736574335783,0.00035592404162217617,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.5289240625588845,0.5084425000614446,0.4860989773369649,0.4616275000672966,0.4347088750706614,0.4049567106006962,0.37189875007851264,0.3349516177301899,0.29338609383832676,0.24627850009421517,0.19244125010094484,0.1307271963009668,0.07004899189749388,0.022868595508505063,0.004258526474467684,0.00043967087494504114,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.5289240625588845,0.5084425000614446,0.4860989773369649,0.4616275000672966,0.4347088750706614,0.4049567106006962,0.37189875007851264,0.3349516177301899,0.29338609383832676,0.24627850009421517,0.19244125010094484,0.13136496064704092,0.06887130205389108,0.024119087996985113,0.0034482758620689655,6.281012499214873e-05,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.5289240625588845,0.5084425000614446,0.4860989773369649,0.4616275000672966,0.4347088750706614,0.4049567106006962,0.37189875007851264,0.3349516177301899,0.29338609383832676,0.24627850009421517,0.19244125010094484,0.13155339102201735,0.06709691602286288,0.023228326224369187,0.003674392312040701,0.00033498733329145994,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.5289240625588845,0.5084425000614446,0.4860989773369649,0.4616275000672966,0.4347088750706614,0.4049567106006962,0.37189875007851264,0.3349516177301899,0.29338609383832676,0.24627850009421517,0.19244125010094484,0.13106057311823283,0.06726964386659129,0.022166264110865582,0.005407951761824006,0.0007327847915750686,0.0,0.0,0.0,0.0,0.0,0.0
