Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
pct_interview_given_application,0.20824668339906777,0.20521517913928344,0.21414349974190694,0.20747302993498606,0.20781451266638043,0.20911643983581768,0.21141525917297613,0.20238344135479824,0.20232703964328014,0.21064848396924415,0.20716222000285348,0.20347533632286996,0.206352590066084,0.2040328813321155,0.20651400938700043,0.20390394607498946,0.21075549749618985,0.2091465610370904,0.211353711790393,0.20525869380831213,0.21078609276330115,0.20708835484561078,0.2079484425349087,0.21760959160734358,0.20651400938700043,0.2109851787271142,0.20511371662664218,0.2060012768674186,0.20907127429805616,0.2077699077055162
pct_interview_given_application,0.2029633771316746,0.20364656381486676,0.2075323375973701,0.20071882775781033,0.2102824040550326,0.20952380952380953,0.2100846415394632,0.2091917591125198,0.20144284128745837,0.20907127429805616,0.20962968310113334,0.20465116279069767,0.2066462677008468,0.2190375622265802,0.20156868189074756,0.20829149332950797,0.20823175103972466,0.20540387607865326,0.20501235439463467,0.19957391244588002,0.20525869380831213,0.20413327709827078,0.20259522812892425,0.2071178945866914,0.21238938053097345,0.20739894300814168,0.20224249599554286,0.20581148121899362,0.2093123828744414,0.2046944385705223
pct_interview_given_application,0.20460790530543224,0.21428571428571427,0.20527320279918004,0.20478104506029193,0.20689655172413793,0.20444945085891297,0.20486772486772487,0.20348959428211058,0.20666097352690008,0.2066462677008468,0.20895092819110664,0.20437750721373776,0.20682287586354248,0.202736665735828,0.21093920244061887,0.2059136353967241,0.20832137733142037,0.20179278715864082,0.20544747081712061,0.21163095758635767,0.20739894300814168,0.20476660555633902,0.20534577853203226,0.20537482319660538,0.20779964221824687,0.20759167917649582,0.20832137733142037,0.2048821786369409,0.20811236921312884,0.21263820751263088
pct_interview_given_application,0.20781451266638043,0.21406457319770014,0.20784425994846836,0.207502679528403,0.2033043965275833,0.2035751840168244,0.208157121353308,0.21152305339063296,0.20676397294410823,0.20540387607865326,0.20380377570355815,0.20439189189189189,0.20850086157380815,0.2052006783493499,0.21206367752300279,0.2103738046942915,0.21064848396924415,0.20676397294410823,0.19934102141680396,0.2077104642014162,0.20557836613337108,0.20629395467784328,0.2028783009640911,0.20002755200440833,0.20511371662664218,0.21262263874652218,0.20439189189189189,0.202172096908939,0.20994794679005205,0.20916162489196197
pct_interview_given_application,0.20341832446063324,0.2069997861572457,0.21003905684941415,0.20460790530543224,0.208157121353308,0.20660216277746157,0.20030349013657056,0.2093425605536332,0.21455485777613595,0.19814410480349345,0.205607476635514,0.20525869380831213,0.2089960417416337,0.2006356224955092,0.2014009293293571,0.20214395099540583,0.20824668339906777,0.20466558601733736,0.20536029983735238,0.20610361958836054,0.20056633745424407,0.20292083013066872,0.20527320279918004,0.20133111480865223,0.20594284093326715,0.21519081141163393,0.2067786955283395,0.2129656790847756,0.21016066000868433,0.20495447808596232
pct_interview_given_application,0.2040758959943781,0.2055929203539823,0.21368653421633554,0.20189098998887653,0.20741375616027427,0.21271608555523,0.20074657818332642,0.2048966344457772,0.20627930103707914,0.20666097352690008,0.2056802889723068,0.20236933797909407,0.21011504232689385,0.2057385759829968,0.20842603890045217,0.2120017520805957,0.20642593119135627,0.20472329925978147,0.20259522812892425,0.20203144566578546,0.20311953556690215,0.20351811619594926,0.20242576327896278,0.20423377171390394,0.2044350580781415,0.20922190201729107,0.2115846994535519,0.20494001411432605,0.2048966344457772,0.2037037037037037
pct_interview_given_application,0.20802292263610314,0.20347533632286996,0.2107707940194513,0.20268006700167504,0.20453585011973519,0.19986235375086028,0.20453585011973519,0.2102824040550326,0.2093425605536332,0.20955404820320392,0.2065433854907539,0.2079484425349087,0.20578231292517007,0.20106626047220105,0.20646996089584074,0.20901108392111703,0.2056365953830902,0.2044350580781415,0.20866566070273765,0.2077401817011231,0.20371799368642582,0.207132667617689,0.20784425994846836,0.20518617960856356,0.2073545162441985,0.2068670750819205,0.20589903573454338,0.2031479538300105,0.2111692844677138,0.20835126990959965
pct_interview_given_application,0.20406155575855528,0.20887578220527944,0.20546200650912694,0.21031286210892236,0.21211014535096048,0.207502679528403,0.20265177948360083,0.2062207072858969,0.2029491928157104,0.21237384817902588,0.20128924932418382,0.20796333428816957,0.20027586206896553,0.20527320279918004,0.20034494653328733,0.21240491515506144,0.206352590066084,0.20333286654530178,0.20754716981132076,0.20991759433280324,0.20450704225352112,0.2046944385705223,0.21240491515506144,0.20442066732366607,0.213090695626651,0.21074020319303338,0.20207362048570038,0.20544747081712061,0.21167723595014215,0.20967509025270759
pct_interview_given_application,0.20576773187840997,0.2018348623853211,0.20760651987417786,0.20124740124740126,0.20374657966743842,0.20470886789792753,0.20377517367202302,0.20544747081712061,0.20649932446846334,0.20317638004617644,0.20781451266638043,0.20739894300814168,0.21020629750271444,0.21075549749618985,0.20579689603855147,0.20266592225556562,0.20817204301075268,0.2093274706263966,0.21133833054362855,0.21251372118551043,0.2079484425349087,0.20860570361324618,0.20645528224086448,0.21161553596152444,0.20784425994846836,0.20360372993058964,0.20698503207412688,0.20702930063449063,0.20211581291759464,0.20589903573454338
pct_interview_given_application,0.206734534064213,0.20556381397324272,0.2091465610370904,0.2075323375973701,0.20666097352690008,0.20775504364000572,0.20883072055227958,0.2071178945866914,0.2067786955283395,0.21109253470960238,0.21066376496191513,0.20901108392111703,0.20141489804411153,0.21139986896702337,0.2023129441270726,0.21417508665830814,0.20135903480793232,0.20809745610892152,0.20667568144616041,0.2073101085094232,0.20597205475565644,0.21143065161994903,0.20856075840275784,0.20434874393075786,0.20757684060042889,0.20779964221824687,0.20472329925978147,0.20803782505910165,0.20531674208144796,0.20470886789792753
