Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
pct_interview_given_application,0.02995734550143835,0.029823233154481713,0.029475875980089144,0.030003974036296198,0.029728310801942513,0.029828142490287746,0.02969031623791578,0.03014072324428624,0.029633990776175057,0.030050747951839197,0.029277750848279206,0.030327374974894558,0.02994051553205552,0.030032817316935724,0.030264564404062,0.029882252053167982,0.029972211194918618,0.029864521870982628
pct_interview_given_application,0.029504673201550136,0.030054735445347487,0.029840914330885017,0.029816362798657275,0.029879295560978826,0.030164807724321625,0.02982716049382716,0.030456852791878174,0.03005373847276587,0.030028835636869842,0.029918763621953635,0.02972148410589509,0.02979185163263293,0.03015276067494259,0.0301367129029039,0.029928646934460887,0.02992469282600079,0.029900003300221113
pct_interview_given_application,0.02981243830207305,0.0298428802002701,0.029918763621953635,0.030188930725400687,0.030197986800879942,0.029865506329113924,0.029880280993370933,0.029961308244320247,0.03014774391055504,0.030050747951839197,0.029836983369010375,0.030683780946252584,0.02979969081998487,0.029981137694827756,0.029766402733515128,0.030764006791171476,0.029751740443977406,0.030334482874075065
pct_interview_given_application,0.030271642888168665,0.030003974036296198,0.029792831305491613,0.02984582949005139,0.030318241140447746,0.030197986800879942,0.03043741181213465,0.030339561985131606,0.029872399353753833,0.029776185624609722,0.02984582949005139,0.03008267755752565,0.029751740443977406,0.03016983016983017,0.030070696007169172,0.02997816160412944,0.030285809794417515,0.029661155671959403
pct_interview_given_application,0.029988084204951675,0.029942494546896688,0.02999702016355991,0.030167820990942996,0.030161795059591184,0.03009766792904126,0.02990197696293607,0.030046761516267038,0.029772271696625153,0.029620426978781835,0.030091669988043045,0.03016581207964307,0.029923704462132973,0.03008167873032738,0.030014908066920656,0.03006969797543976,0.03005972130059721,0.029739044805514526
pct_interview_given_application,0.03001888605414002,0.02973514063474351,0.0302292215808615,0.030079681274900398,0.029921727930248686,0.029919751659456425,0.03009766792904126,0.030154767848227657,0.02956822558010509,0.02974587957186946,0.029793811042783388,0.03000298042851939,0.03029796341504197,0.030037795902128506,0.03002386002120891,0.029711737119994752,0.029966263147449893,0.03028783472069
pct_interview_given_application,0.03044150258719172,0.029677672955974843,0.02960494069208901,0.03002286509593399,0.030652637277125555,0.02989309753200475,0.029863537477750675,0.029640777334293007,0.03023023023023023,0.029937547500247828,0.029991062266212055,0.030158782996571352,0.02999702016355991,0.030614313712238966,0.029891125041240516,0.03042208119270676,0.02935173486247449,0.02971855933871285
pct_interview_given_application,0.029913824413114538,0.029906912259853435,0.03005274156632501,0.029443307009846934,0.02962623851411007,0.030352775637374787,0.02989309753200475,0.0294595824933342,0.029646596858638744,0.030376181854757593,0.03039044679994633,0.03006271360785745,0.0298144004212189,0.02984877936283069,0.030046761516267038,0.029784016568592,0.029961308244320247,0.02975467174619856
pct_interview_given_application,0.029706866024001573,0.029574982046092577,0.029761513698180145,0.0298144004212189,0.0297058919964589,0.030160790971736743,0.030216115261472786,0.029746856223528254,0.02979871069596106,0.03041289023162135,0.030537953350411217,0.03016983016983017,0.029961308244320247,0.029723434270529182,0.029729286300246103,0.030192954977171994,0.029917775649704454,0.030039787798408487
pct_of_app_match_via_signal_given_matched,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
