Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
pct_interview_given_nosignal,0.1941377997716026,0.17807643847123059,0.14051132820619414,0.11031331592689295,0.08117673081176731,0.059292242793531756,0.04269211451531894,0.03501649327581832,0.025467353020861554,0.009982886480319452,0.0024242424242424242,0.0006345177664974619,0.0006779661016949153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.1933649289099526,0.17611630321910696,0.14395066978524346,0.11062431544359255,0.08346421359658963,0.06384558277654045,0.03981878874582737,0.030310880829015546,0.014241325737959606,0.007793603869927439,0.004045073678127709,0.0015969338869370809,0.00034223134839151266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.20991973657131097,0.1674896306537626,0.13798734435599103,0.10763743180864456,0.08545197740112995,0.05717463848720801,0.050944750059794305,0.0308413520848754,0.016881827209533268,0.013121161362367392,0.0026817640047675805,0.0028107432854465957,0.0,0.0003355704697986577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.20278330019880716,0.175424079437319,0.14118629908103592,0.10430839002267574,0.0853258321612752,0.055247341655108646,0.04416645391881542,0.0273972602739726,0.018703898840885143,0.012522907758094075,0.0046918986549890525,0.0036429872495446266,0.0016611295681063123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.19914096056228037,0.17093327958072968,0.14181286549707603,0.10969553012308357,0.08256669733210671,0.06374970595154081,0.04257849666983825,0.03204476093591048,0.021609940572663425,0.010116036893781613,0.002458344714558864,0.0009940357852882703,0.0003679175864606328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_application,0.19825072886297376,0.19529006318207925,0.20391843262694923,0.20531400966183574,0.18691588785046728,0.19630484988452657,0.2054794520547945,0.2140159462861939,0.20991973657131097,0.198482194979568,0.20066889632107024,0.19447092469018112,0.201700613011667,0.20744356314826112,0.21505376344086022,0.204,0.19065420560747665,0.2037962037962038,0.2086316220085907,0.20469596628537026,0.1928895612708018,0.20901639344262296,0.1959277756434883,0.1953648726297644
pct_interview_given_application,0.20556227327690446,0.20066889632107024,0.19521531100478468,0.2073170731707317,0.20681265206812652,0.19941348973607037,0.20795107033639143,0.2002748870999411,0.19589014787785672,0.2036741214057508,0.21537162162162163,0.20090604687807762,0.1945080091533181,0.20905923344947736,0.21219055543998336,0.20146158404108236,0.19984326018808776,0.18881895594224363,0.20246129416435094,0.2109181141439206,0.20987654320987653,0.20039292730844793,0.19879165854609238,0.20011771630370806
pct_interview_given_application,0.2059357964869776,0.19855947050807865,0.2145561632309634,0.20589422688736375,0.19941348973607037,0.19821220365332298,0.2026624279753626,0.20359281437125748,0.20618556701030927,0.19362186788154898,0.20643594414086217,0.20254169976171565,0.206645056726094,0.21285475792988315,0.20635241756018613,0.19296254256526674,0.19960861056751467,0.20626895854398383,0.20347097546379414,0.20416333066453163,0.19733023795705165,0.18681318681318682,0.20631067961165048,0.21464646464646464
pct_interview_given_application,0.2113113735239279,0.1994524833789597,0.20416333066453163,0.20486041373769834,0.2136125654450262,0.19929660023446658,0.20631067961165048,0.20178041543026706,0.1985208252238225,0.2042450941129355,0.20395920815836832,0.20841847159787494,0.2053966975432944,0.20019627085377822,0.1899087693167008,0.19410085632730734,0.1979045401629802,0.20178041543026706,0.19487963316774934,0.19630484988452657,0.2065195383680907,0.20090604687807762,0.2051901025950513,0.1899087693167008
pct_interview_given_application,0.20334928229665072,0.1901920566846914,0.20031421838177532,0.20126282557221783,0.19656966660242822,0.20685459338876497,0.20846106683016555,0.19914096056228037,0.20082693443591257,0.20306589687437787,0.20254169976171565,0.20693852708460134,0.2072749441170494,0.20714865962632006,0.1941377997716026,0.1977894124490983,0.19914096056228037,0.20254169976171565,0.19176536943034406,0.20051110674267741,0.19883040935672514,0.1940270116035762,0.21523528170500106,0.19996079200156833
pct_interview_given_application,0.1941377997716026,0.20672882042967167,0.19786614936954414,0.19953051643192488,0.1958149356882319,0.1989467524868344,0.20343039489429598,0.19825072886297376,0.20138203356367226,0.20218037661050545,0.2033898305084746,0.20226055919095776,0.20363345977240965,0.20391843262694923,0.20023557126030625,0.1945822205265166,0.19001490312965721,0.2071907373552712,0.20597738287560582,0.19875292283710055,0.21241149521032904,0.1959277756434883,0.20351157222665603,0.19399011030810193
pct_interview_given_application,0.1933649289099526,0.2045317826348506,0.20210025757875966,0.20074788427474907,0.19825072886297376,0.20812079167516834,0.19517795637198623,0.2014218009478673,0.19473081328751432,0.19369540448157996,0.19687319050376376,0.20306589687437787,0.2050251256281407,0.2001569858712716,0.19351166761525326,0.19611613151317053,0.1996476805637111,0.20572811617587736,0.2045317826348506,0.2103526500309342,0.19656966660242822,0.20824826459779502,0.19767441860465115,0.20626895854398383
pct_interview_given_application,0.20991973657131097,0.19484240687679083,0.19454510776273126,0.19310867095797046,0.206645056726094,0.19047619047619047,0.1956646844427393,0.1940270116035762,0.18874907475943745,0.19890795631825273,0.20098522167487684,0.20035356511490865,0.19755955839628123,0.19619157530294287,0.19890795631825273,0.20412247348409046,0.21078735275883448,0.20298507462686566,0.19180142910868747,0.1985981308411215,0.20003922337713276,0.201700613011667,0.19634263715110684,0.19439679817038308
pct_interview_given_application,0.20278330019880716,0.20375549340791052,0.19875292283710055,0.19005030743432086,0.20589422688736375,0.196683378326263,0.20610224287734896,0.19012115563839702,0.19721577726218098,0.21153048527581916,0.20748576078112285,0.1969111969111969,0.20122312093115013,0.20765472312703584,0.1974066189278111,0.20318725099601595,0.1989467524868344,0.20639417239983812,0.19786614936954414,0.20162087369045265,0.20166073546856464,0.20270270270270271,0.2038369304556355,0.21175005189952253
pct_interview_given_application,0.19914096056228037,0.19871420222092342,0.19875292283710055,0.19817369341363902,0.20254169976171565,0.19956955585991,0.19480519480519481,0.19863680623174293,0.20090604687807762,0.20786631342979417,0.1895910780669145,0.207781625585659,0.2136125654450262,0.19299905392620625,0.19672131147540983,0.20626895854398383,0.21347844286312265,0.19941348973607037,0.1956646844427393,0.2052313883299799,0.2085889570552147,0.20527269068222984,0.1919819311123659,0.19744483159117304
pct_of_app_match_via_signal_given_matched,0.0,0.8571428571428571,0.9509803921568627,0.9901960784313726,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.8529411764705882,0.9509803921568627,0.9901960784313726,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.9215686274509803,0.9702970297029703,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.82,0.9207920792079208,0.9803921568627451,0.9901960784313726,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.8415841584158416,0.9607843137254902,0.9901960784313726,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.8415841584158416,0.9313725490196079,0.9900990099009901,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.84,0.9607843137254902,0.9901960784313726,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.85,0.9705882352941176,0.9901960784313726,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.8383838383838383,0.9803921568627451,0.9803921568627451,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.8921568627450981,0.9603960396039604,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
