Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
pct_interview_given_application,0.11873191899710704,0.12177030535294844,0.11989531982228714,0.12195876926886647,0.1202392578125,0.12236784893471644,0.11721306598441125,0.12020990969001709,0.12146997163645332,0.11989531982228714,0.11833964077611582,0.12220843672456576,0.11857469603948477,0.1213951195464629,0.120577794099645,0.12047455968688846,0.11775957917388966,0.12254292112465788,0.121845620979713,0.11863896416741945,0.1196332058055505,0.11873907540232656,0.12402417527071266
pct_interview_given_application,0.12326367163058441,0.1231557889472368,0.12029065152347805,0.12191348474534315,0.12077738949175403,0.12085889570552147,0.12400856099710438,0.12302504215325048,0.12160493827160494,0.12133530426213353,0.12102223860425114,0.12368156705173279,0.12120839229680674,0.12226152795879104,0.12281029860981235,0.12010730398731861,0.11932885092979587,0.1198515544199063,0.12123076923076923,0.12317118919594848,0.12372817485240548,0.12018057589067838,0.12081442413835398
pct_interview_given_application,0.1202979970688813,0.12447084096796614,0.12181548355181795,0.12186069528640356,0.12426670030908976,0.11965500485908649,0.11882501960311237,0.12418836285696275,0.12003412137460395,0.12110407573615295,0.12169508277736595,0.11940117582883811,0.12362723564480703,0.12319429679194548,0.1196332058055505,0.11653356994971902,0.12214024428048856,0.11893980559077462,0.11934330889925486,0.12064425255680078,0.11964773762526572,0.11858897182759451,0.11988072780380941
pct_interview_given_application,0.12473091047233127,0.1210891880263077,0.1183112125397874,0.12047455968688846,0.12119347892956013,0.11850336862367661,0.12135025255636318,0.11687926431326016,0.11932162325863113,0.12174772881774922,0.1234877452516768,0.12181548355181795,0.12089598036207426,0.12043773308063827,0.11703897338403042,0.1208885616102111,0.12130541871921183,0.1220494393160275,0.11793582375478927,0.11980053514959864,0.11918446366991349,0.12098507646011178,0.12205700123915737
pct_interview_given_application,0.12134277794887588,0.12090340002454891,0.12243629583592293,0.1188465250965251,0.12044509660063585,0.1223526489037948,0.12041564792176039,0.11949532937037487,0.12028330687507632,0.12244390577413139,0.12171763978992894,0.11999025459861128,0.12153741748411376,0.121928575849477,0.12142504930966469,0.11944461286606439,0.1184748616790955,0.11797820098215356,0.122718494985361,0.12180795152414518,0.11987343312644518,0.12328681394330059,0.11974955929730716
pct_of_app_match_via_signal_given_matched,0.0,0.9627659574468085,0.9973753280839895,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.9521276595744681,0.9844961240310077,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.9422572178477691,0.9921671018276762,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.947945205479452,0.9947643979057592,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.9393139841688655,0.9973753280839895,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.9326145552560647,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.9414893617021277,0.9973821989528796,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.9435483870967742,0.9973958333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.9306666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.9536784741144414,0.984375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
