Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
pct_interview_given_nosignal,0.34777376654632974,0.3280823356437723,0.2973898160034232,0.26681270536692225,0.24399346862607885,0.20244690674053556,0.17902941916017098,0.14930464445027553,0.12741102961151862,0.10082063305978899,0.0913516609392898,0.0787037037037037,0.06589279617616935,0.04056865464632455,0.034447821681864235,0.017449106771915246,0.014631915866483767,0.008318739054290718,0.0004901960784313725,0.0027218290691344584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.336046511627907,0.29952061361457333,0.2868937048503612,0.267515923566879,0.24565523720056365,0.1991391028545537,0.18349318525996972,0.1479514415781487,0.12933666389120177,0.10816326530612246,0.08347927612375948,0.0762081784386617,0.05705901532442126,0.04957767168564084,0.0404231205137892,0.027982899339292655,0.00718816067653277,0.0036900369003690036,0.003564154786150713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.3412042502951594,0.308878781886494,0.3012570437798006,0.2816836262719704,0.23826879271070614,0.20756501182033096,0.1808968837091462,0.1511111111111111,0.12479696805630752,0.10094979647218454,0.09003888722704158,0.08413461538461539,0.05897035881435257,0.04131697869593286,0.026950925181013677,0.021756647864625302,0.010835913312693499,0.0076818798011748755,0.0037313432835820895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.3409359024773889,0.31004366812227074,0.29758081781203166,0.26126126126126126,0.24097493676707288,0.1989125509741731,0.17089678510998307,0.1514410005437738,0.12754674853474743,0.09503239740820735,0.09228486646884274,0.08723475917817447,0.059359190556492414,0.04547121378804547,0.02889405513118565,0.021447721179624665,0.014358499305233904,0.009545454545454546,0.0,0.0015881418740074113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.35686355217122867,0.3227939656953916,0.27900441589723,0.2607020547945205,0.24208092485549132,0.21100917431192662,0.1782848545636911,0.15736455213721753,0.1261564339781329,0.11266783420899007,0.10078247261345853,0.06853487663722205,0.062020460358056265,0.05239687848383501,0.029516358463726886,0.013733905579399141,0.004248744689069139,0.011569416498993963,0.0010498687664041995,0.0021598272138228943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.3423494570582428,0.3179320170974964,0.2853623485937179,0.269528656782474,0.23506960035922767,0.19959081609456694,0.17098571082586583,0.1515392781316348,0.13554306007694583,0.1055393586005831,0.0853448275862069,0.0764555342290467,0.051154086088583905,0.04801829268292683,0.04180064308681672,0.01901743264659271,0.021150592216582064,0.00977366255144033,0.0,0.0035842293906810036,0.002224694104560623,0.0,0.0007336757153338225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.3473557692307692,0.3226606073125387,0.2920168067226891,0.2688148311630987,0.23234118169702356,0.20984393757503,0.18111852231913803,0.14864516129032257,0.11918982082575955,0.10193788160339792,0.09035621198957429,0.07449577098243332,0.05244182235332678,0.05253940455341506,0.04117869285984133,0.020385470719051148,0.017248814144027597,0.006786427145708583,0.00047664442326024784,0.0005055611729019212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_application,0.34805299076676033,0.3493150684931507,0.3520097442143727,0.33231123035645843,0.3285335354300872,0.3475646422128683,0.32686145146088597,0.33423284502698536,0.3374854028804983,0.3469387755102041,0.33237492811960895,0.3407349184515622,0.34826270335408716,0.35308491142333537,0.3607239442479717,0.3432983567610374,0.33900293255131964,0.34500596896140073,0.34548714883442916,0.3412042502951594,0.33827545844713225,0.34514331210191085,0.3388042203985932,0.3411371237458194,0.338605741066198,0.3509411050394657,0.33643771827706637,0.3361768127181078,0.35058633238980996,0.3330772185939301,0.3189258782416774,0.3368298368298368,0.35236740499898395,0.329595134004942,0.3384735506539137,0.35870914356640465
pct_interview_given_application,0.3486828875930022,0.3251453215825989,0.3512965964343598,0.33371824480369516,0.3422818791946309,0.3463151587777112,0.3488933601609658,0.32314573238911665,0.34576271186440677,0.35518230233510856,0.3218860219045851,0.34521202468644235,0.3509411050394657,0.33650300795653015,0.3513677811550152,0.33533165731966735,0.354746317512275,0.3461077844311377,0.3435704378838914,0.3428232502965599,0.3419443896667324,0.3428232502965599,0.34528076463560337,0.34840265220012057,0.3388042203985932,0.3454183266932271,0.32847130138283764,0.3446630888491354,0.336046511627907,0.3454183266932271,0.3419443896667324,0.32997145575642245,0.3564234326824255,0.3456937799043062,0.3417422152148207,0.3489635741597907
pct_interview_given_application,0.33269378357636226,0.33410404624277457,0.3540220498162515,0.3348783314020857,0.3412714032670734,0.33663366336633666,0.3349430171914236,0.33966699314397647,0.33650300795653015,0.32704639758581666,0.33853963295587663,0.34721665999199036,0.34370664023785924,0.3345552768666795,0.3382094792276185,0.33663366336633666,0.352224253503961,0.32872037914691943,0.3584866652884019,0.3348783314020857,0.3464535464535465,0.3413385826771654,0.3454183266932271,0.3580425356184183,0.3489635741597907,0.33840749414519905,0.31746612962284876,0.3356562137049942,0.3312320916905444,0.3306005719733079,0.34370664023785924,0.3378799688230709,0.33339742357238994,0.33702623906705537,0.3456248754235599,0.33378248315688164
pct_interview_given_application,0.34777376654632974,0.3515102371781877,0.34555599840573936,0.3412714032670734,0.34854271356783917,0.33397534668721107,0.3461768816130964,0.34576271186440677,0.343026706231454,0.3495967741935484,0.33301325139235644,0.3534447615165104,0.3475646422128683,0.3396004700352526,0.32374906646751306,0.3481927710843373,0.3538775510204082,0.3358512492736781,0.3425523508494666,0.3443208895949166,0.3491743858236005,0.334168433224128,0.35503685503685506,0.34966727162734423,0.3417422152148207,0.3346844238563984,0.35165280876090044,0.33423284502698536,0.32320596458527495,0.35591133004926107,0.33834146341463417,0.35759950505258814,0.32140871177015756,0.3422818791946309,0.34404761904761905,0.35649671052631576
