Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
pct_interview_given_nosignal,0.0425879963898917,0.012082217305228835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.0425879963898917,0.011791079538837778,9.025270758122743e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.0425879963898917,0.011936648422033307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.0425879963898917,0.01184930709211599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.0425879963898917,0.011732851985559567,0.00012033694344163658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_application,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917
pct_interview_given_application,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917
pct_interview_given_application,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917
pct_interview_given_application,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917
pct_interview_given_application,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917
pct_interview_given_application,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917
pct_interview_given_application,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917
pct_interview_given_application,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917
pct_interview_given_application,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917
pct_interview_given_application,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917,0.0425879963898917
pct_of_app_match_via_signal_given_matched,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
