Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
pct_interview_given_nosignal,0.22239813034792114,0.20079807841314118,0.17796373779637378,0.1537862006727377,0.1281433582688813,0.10089783821478382,0.07214948786011008,0.04261583759491709,0.017922698343993973,0.005180314803745766,0.00127417049778742,0.000160926939169617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.22239813034792114,0.20079807841314118,0.17796373779637378,0.1537862006727377,0.1281433582688813,0.10089783821478382,0.07189454267332523,0.042274910894157754,0.017441767261418106,0.006010493458192203,0.0008781445322588976,0.00012516539713192432,1.8596001859600188e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.22239813034792114,0.20079807841314118,0.17796373779637378,0.1537862006727377,0.1281433582688813,0.10089783821478382,0.07201451687887105,0.04250736091740276,0.018756312220458808,0.0039350468220761105,0.0010847667751433443,3.576154203769266e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.22239813034792114,0.20079807841314118,0.17796373779637378,0.1537862006727377,0.1281433582688813,0.10089783821478382,0.07193953300040491,0.043127227646056095,0.01827538113788294,0.005279936242279339,0.0013430445787489024,5.3642313056539e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.22239813034792114,0.20079807841314118,0.17796373779637378,0.1537862006727377,0.1281433582688813,0.10089783821478382,0.07196952655179137,0.04219742755307609,0.01856393978742846,0.004698811184166833,0.000826488971537786,7.152308407538533e-05,7.438400743840075e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.22239813034792114,0.20079807841314118,0.17796373779637378,0.1537862006727377,0.1281433582688813,0.10089783821478382,0.07198452332748459,0.04266232759956609,0.018034915596595008,0.0056618184233247,0.0008437074917781566,0.000214569252226156,9.298000929800093e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.22239813034792114,0.20079807841314118,0.17796373779637378,0.1537862006727377,0.1281433582688813,0.10089783821478382,0.07202951365456427,0.042677824267782424,0.01896471568957502,0.005894268446569702,0.0017390705442774249,5.3642313056539e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.22239813034792114,0.20079807841314118,0.17796373779637378,0.1537862006727377,0.1281433582688813,0.10089783821478382,0.07217948141149653,0.042336897567023093,0.016928774106670513,0.005695025569502557,0.0007920519310570449,0.000107284626113078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.22239813034792114,0.20079807841314118,0.17796373779637378,0.1537862006727377,0.1281433582688813,0.10089783821478382,0.07189454267332523,0.042832790949945763,0.01912502605043364,0.004931261207411835,0.0008609260120185272,1.788077101884633e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.22239813034792114,0.20079807841314118,0.17796373779637378,0.1537862006727377,0.1281433582688813,0.10089783821478382,0.07189454267332523,0.04295676429567643,0.016447843024094647,0.005412764826990768,0.0009470186132203798,0.00026821156528269497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_application,0.22239813034792114,0.22239813034792114,0.22239813034792114,0.22239813034792114,0.22239813034792114,0.22239813034792114,0.22239813034792114,0.22239813034792114,0.22239813034792114,0.22239813034792114,0.22239813034792114,0.22239813034792114,0.22239813034792114,0.22239813034792114,0.22239813034792114,0.22239813034792114,0.22239813034792114,0.22239813034792114,0.22239813034792114,0.22239813034792114,0.22239813034792114,0.22239813034792114,0.22239813034792114,0.22239813034792114,0.22239813034792114,0.22239813034792114,0.22239813034792114,0.22239813034792114,0.22239813034792114,0.22239813034792114,0.22239813034792114,0.22239813034792114,0.22239813034792114,0.22239813034792114,0.22239813034792114
