Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,0.9902097902097902,0.967948717948718,0.938061938061938,0.9055944055944056,0.8523698523698524,0.7975524475524476,0.736808645899555,0.6800699300699301,0.6293706293706294,0.5844155844155844,0.5454545454545454
pct_interview_given_signal,0.0,1.0,1.0,1.0,0.9991258741258742,0.9944055944055944,0.9871794871794872,0.951048951048951,0.8924825174825175,0.8531468531468531,0.7891608391608391,0.7349014621741895,0.6803613053613053,0.6293706293706294,0.5844155844155844,0.5454545454545454
pct_interview_given_signal,0.0,1.0,1.0,1.0,0.9991258741258742,0.9923076923076923,0.9696969696969697,0.9525474525474525,0.8894230769230769,0.8554778554778555,0.794055944055944,0.7320406865861411,0.678030303030303,0.6277568585260893,0.5844155844155844,0.5454545454545454
pct_interview_given_nosignal,0.5113636363636364,0.47878787878787876,0.44155844155844154,0.3986013986013986,0.3484848484848485,0.291163382072473,0.22937062937062938,0.16938616938616938,0.10314685314685315,0.08191808191808192,0.04487179487179487,0.01818181818181818,0.008741258741258742,0.0,0.0,0.0
pct_interview_given_nosignal,0.5113636363636364,0.47878787878787876,0.44155844155844154,0.3986013986013986,0.3484848484848485,0.2905276541640178,0.2353146853146853,0.16705516705516704,0.12368881118881118,0.07492507492507493,0.049533799533799536,0.021678321678321677,0.008741258741258742,0.0,0.0,0.0
pct_interview_given_nosignal,0.5113636363636364,0.47878787878787876,0.44155844155844154,0.3986013986013986,0.3484848484848485,0.29338842975206614,0.22797202797202798,0.17365967365967366,0.12893356643356643,0.07992007992007992,0.037296037296037296,0.02937062937062937,0.0008741258741258741,0.0,0.0,0.0
pct_interview_given_nosignal,0.5113636363636364,0.47878787878787876,0.44155844155844154,0.3986013986013986,0.34935897435897434,0.29624920534011445,0.22342657342657343,0.17715617715617715,0.1354895104895105,0.07742257742257742,0.05244755244755245,0.023776223776223775,0.0017482517482517483,0.004662004662004662,0.0,0.0
pct_interview_given_nosignal,0.5113636363636364,0.47878787878787876,0.44155844155844154,0.3986013986013986,0.3484848484848485,0.2898919262555626,0.23706293706293707,0.17055167055167056,0.12368881118881118,0.0984015984015984,0.029137529137529136,0.03076923076923077,0.004370629370629371,0.0,0.0,0.0
pct_interview_given_nosignal,0.5113636363636364,0.47878787878787876,0.44155844155844154,0.3986013986013986,0.3484848484848485,0.2908455181182454,0.23426573426573427,0.17404817404817405,0.11975524475524475,0.08091908091908091,0.03496503496503497,0.03776223776223776,0.0017482517482517483,0.0,0.0,0.0
pct_interview_given_nosignal,0.5102709790209791,0.47878787878787876,0.44155844155844154,0.3986013986013986,0.3484848484848485,0.2908455181182454,0.23076923076923078,0.1794871794871795,0.11276223776223776,0.05844155844155844,0.04895104895104895,0.012587412587412588,0.01048951048951049,0.0011655011655011655,0.0,0.0
pct_interview_given_nosignal,0.5113636363636364,0.47878787878787876,0.44155844155844154,0.3986013986013986,0.3484848484848485,0.2937062937062937,0.23741258741258742,0.1794871794871795,0.11713286713286714,0.07292707292707293,0.034382284382284384,0.015384615384615385,0.005244755244755245,0.0,0.0,0.0
pct_interview_given_nosignal,0.5113636363636364,0.47878787878787876,0.44155844155844154,0.3986013986013986,0.3487762237762238,0.2917991099809282,0.22587412587412586,0.16938616938616938,0.13024475524475523,0.07192807192807193,0.04836829836829837,0.019580419580419582,0.004370629370629371,0.0,0.0,0.0
pct_interview_given_nosignal,0.5113636363636364,0.47878787878787876,0.44155844155844154,0.3986013986013986,0.3487762237762238,0.2927527018436109,0.23636363636363636,0.16822066822066822,0.1333041958041958,0.06893106893106893,0.04020979020979021,0.025874125874125874,0.011363636363636364,0.006993006993006993,0.0,0.0
pct_interview_given_application,0.5113636363636364,0.5113636363636364,0.5113636363636364,0.5113636363636364,0.5113636363636364,0.5113636363636364,0.5113636363636364,0.5113636363636364,0.5113636363636364,0.5113636363636364,0.5113636363636364,0.5113636363636364,0.5113636363636364,0.5113636363636364,0.5113636363636364,0.5113636363636364
pct_interview_given_application,0.5113636363636364,0.5113636363636364,0.5113636363636364,0.5113636363636364,0.5113636363636364,0.5113636363636364,0.5113636363636364,0.5113636363636364,0.5113636363636364,0.5113636363636364,0.5113636363636364,0.5113636363636364,0.5113636363636364,0.5113636363636364,0.5113636363636364,0.5113636363636364
pct_interview_given_application,0.5113636363636364,0.5113636363636364,0.5113636363636364,0.5113636363636364,0.5113636363636364,0.5113636363636364,0.5113636363636364,0.5113636363636364,0.5113636363636364,0.5113636363636364,0.5113636363636364,0.5113636363636364,0.5113636363636364,0.5113636363636364,0.5113636363636364,0.5113636363636364
pct_interview_given_application,0.5113636363636364,0.5113636363636364,0.5113636363636364,0.5113636363636364,0.5113636363636364,0.5113636363636364,0.5113636363636364,0.5113636363636364,0.5113636363636364,0.5113636363636364,0.5113636363636364,0.5113636363636364,0.5113636363636364,0.5113636363636364,0.5113636363636364,0.5113636363636364
pct_interview_given_application,0.5113636363636364,0.5113636363636364,0.5113636363636364,0.5113636363636364,0.5113636363636364,0.5113636363636364,0.5113636363636364,0.5113636363636364,0.5113636363636364,0.5113636363636364,0.5113636363636364,0.5113636363636364,0.5113636363636364,0.5113636363636364,0.5113636363636364,0.5113636363636364
pct_interview_given_application,0.5113636363636364,0.5113636363636364,0.5113636363636364,0.5113636363636364,0.5113636363636364,0.5113636363636364,0.5113636363636364,0.5113636363636364,0.5113636363636364,0.5113636363636364,0.5113636363636364,0.5113636363636364,0.5113636363636364,0.5113636363636364,0.5113636363636364,0.5113636363636364
pct_interview_given_application,0.5102709790209791,0.5113636363636364,0.5113636363636364,0.5113636363636364,0.5113636363636364,0.5113636363636364,0.5113636363636364,0.5113636363636364,0.5113636363636364,0.5113636363636364,0.5113636363636364,0.5113636363636364,0.5113636363636364,0.5113636363636364,0.5113636363636364,0.5113636363636364
