Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
pct_interview_given_application,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219
pct_interview_given_application,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219
pct_interview_given_application,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219
pct_interview_given_application,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219
pct_interview_given_application,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219
pct_interview_given_application,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219
pct_interview_given_application,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219
pct_interview_given_application,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219,0.1694395584889219
pct_of_app_match_via_signal_given_matched,0.0,0.9865861837692823,0.999330207635633,0.9996665555185061,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.9841430499325237,0.9939658062353336,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.9849145155883339,0.9959690964057776,0.998997995991984,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.9889038332212509,0.995960955907102,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.9919490103991949,0.9976359338061466,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.9842809364548495,0.9979939819458375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.9841483979763912,0.9966442953020134,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.9872525997987253,0.9966409136714813,0.9996659986639946,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.9885906040268456,0.9993284083277367,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.9829088471849866,0.9976494291470785,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
