n_programs,simulated_positions,n_applicants,interviews_per_spot,max_applications,result_file_prefix,signal_value,reviews
104,2600,12634,13,44,heatmap_np104_npos2614_napp12634_ips13_max_app44,33,4008.8653846153857
104,2600,12634,13,44,heatmap_np104_npos2614_napp12634_ips13_max_app44,34,4130.346153846154
104,2600,12634,13,44,heatmap_np104_npos2614_napp12634_ips13_max_app44,35,4251.826923076923
104,2600,12634,13,44,heatmap_np104_npos2614_napp12634_ips13_max_app44,36,4373.3076923076915
104,2600,12634,13,44,heatmap_np104_npos2614_napp12634_ips13_max_app44,37,4494.788461538463
104,2600,12634,13,44,heatmap_np104_npos2614_napp12634_ips13_max_app44,38,4616.269230769232
104,2600,12634,13,44,heatmap_np104_npos2614_napp12634_ips13_max_app44,39,4737.75
104,2600,12634,13,44,heatmap_np104_npos2614_napp12634_ips13_max_app44,40,4859.230769230769
30,9960,1219,17,8,heatmap_np30_npos9980_napp1219_ips17_max_app8,0,325.06666666666666
30,9960,1219,17,8,heatmap_np30_npos9980_napp1219_ips17_max_app8,1,325.06666666666666
30,9960,1219,17,8,heatmap_np30_npos9980_napp1219_ips17_max_app8,2,325.06666666666666
30,9960,1219,17,8,heatmap_np30_npos9980_napp1219_ips17_max_app8,3,325.06666666666666
30,9960,1219,17,8,heatmap_np30_npos9980_napp1219_ips17_max_app8,4,325.06666666666666
30,9960,1219,17,8,heatmap_np30_npos9980_napp1219_ips17_max_app8,5,325.06666666666666
770,1540,11561,8,34,heatmap_np770_npos2256_napp11561_ips8_max_app34,0,510.4857142857143
770,1540,11561,8,34,heatmap_np770_npos2256_napp11561_ips8_max_app34,1,296.9362337662338
770,1540,11561,8,34,heatmap_np770_npos2256_napp11561_ips8_max_app34,2,30.75896103896104
770,1540,11561,8,34,heatmap_np770_npos2256_napp11561_ips8_max_app34,3,45.0744805194805
770,1540,11561,8,34,heatmap_np770_npos2256_napp11561_ips8_max_app34,4,60.057142857142864
770,1540,11561,8,34,heatmap_np770_npos2256_napp11561_ips8_max_app34,5,75.07142857142858
770,1540,11561,8,34,heatmap_np770_npos2256_napp11561_ips8_max_app34,6,90.08571428571426
770,1540,11561,8,34,heatmap_np770_npos2256_napp11561_ips8_max_app34,7,105.09999999999998
770,1540,11561,8,34,heatmap_np770_npos2256_napp11561_ips8_max_app34,8,120.11428571428573
770,1540,11561,8,34,heatmap_np770_npos2256_napp11561_ips8_max_app34,9,135.12857142857143
770,1540,11561,8,34,heatmap_np770_npos2256_napp11561_ips8_max_app34,10,150.14285714285717
770,1540,11561,8,34,heatmap_np770_npos2256_napp11561_ips8_max_app34,11,165.15714285714284
770,1540,11561,8,34,heatmap_np770_npos2256_napp11561_ips8_max_app34,12,180.17142857142852
770,1540,11561,8,34,heatmap_np770_npos2256_napp11561_ips8_max_app34,13,195.18571428571428
770,1540,11561,8,34,heatmap_np770_npos2256_napp11561_ips8_max_app34,14,210.19999999999996
770,1540,11561,8,34,heatmap_np770_npos2256_napp11561_ips8_max_app34,15,225.2142857142857
770,1540,11561,8,34,heatmap_np770_npos2256_napp11561_ips8_max_app34,16,240.22857142857146
770,1540,11561,8,34,heatmap_np770_npos2256_napp11561_ips8_max_app34,17,255.24285714285716
770,1540,11561,8,34,heatmap_np770_npos2256_napp11561_ips8_max_app34,18,270.25714285714287
770,1540,11561,8,34,heatmap_np770_npos2256_napp11561_ips8_max_app34,19,285.2714285714285
