Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
pct_interview_given_nosignal,0.221480244852532,0.19923682327689005,0.17568496513797505,0.15070572165730764,0.1241652754590985,0.095912542409392,0.06583194212576517,0.03672787979966611,0.01162652039112807,0.003153403821183454,0.0005136766405547708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.221480244852532,0.19923682327689005,0.17568496513797505,0.15070572165730764,0.1241652754590985,0.095912542409392,0.06588759042849193,0.03638247654136204,0.012640114476508467,0.0024114264514932295,6.420958006934635e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.221480244852532,0.19923682327689005,0.17568496513797505,0.15070572165730764,0.1241652754590985,0.095912542409392,0.0657762938230384,0.03580680444418859,0.01454805628428333,0.004328201323192976,0.0008989341209708489,0.0008013355592654424,0.0001391207568169171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.221480244852532,0.19923682327689005,0.17568496513797505,0.15070572165730764,0.1241652754590985,0.095912542409392,0.06616583194212576,0.03597950607334063,0.011924636298592892,0.003524392506028566,6.420958006934635e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.221480244852532,0.19923682327689005,0.17568496513797505,0.15070572165730764,0.1241652754590985,0.095912542409392,0.06588759042849193,0.037130850267687525,0.014130694013832578,0.004204538428244605,0.0011557724412482341,0.0002003338898163606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.221480244852532,0.19923682327689005,0.17568496513797505,0.15070572165730764,0.1241652754590985,0.095912542409392,0.06583194212576517,0.03603707328305797,0.013057476746959219,0.004699190008038088,0.0005778862206241171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.221480244852532,0.19923682327689005,0.17568496513797505,0.15070572165730764,0.1241652754590985,0.095912542409392,0.06605453533667223,0.0368430142191008,0.013415215835917005,0.003957212638347864,0.0005778862206241171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.221480244852532,0.19923682327689005,0.17568496513797505,0.15070572165730764,0.1241652754590985,0.095912542409392,0.06599888703394546,0.036497610960796734,0.01335559265442404,0.0035862239535027515,0.0009631437010401952,6.67779632721202e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.221480244852532,0.19923682327689005,0.17568496513797505,0.15070572165730764,0.1241652754590985,0.095912542409392,0.0659432387312187,0.035864371653905935,0.012103505843071787,0.003462561058554381,0.0003852574804160781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.221480244852532,0.19923682327689005,0.17568496513797505,0.15070572165730764,0.1241652754590985,0.095912542409392,0.06583194212576517,0.03620977491221,0.01335559265442404,0.004204538428244605,0.0003210479003467317,0.0001335559265442404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_application,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532
pct_interview_given_application,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532
pct_interview_given_application,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532
pct_interview_given_application,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532
pct_interview_given_application,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532
pct_interview_given_application,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532
pct_interview_given_application,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532
pct_interview_given_application,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532,0.221480244852532
