Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
pct_interview_given_nosignal,0.2888222055513878,0.26124031007751936,0.23275862068965517,0.20577242524916944,0.17463393626184323,0.1426654740608229,0.10976744186046512,0.07921511627906977,0.05308392315470172,0.03699788583509514,0.014950166112956811,0.005232558139534884,0.0009179926560587516,0.00032299741602067185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.2888222055513878,0.261046511627907,0.23356054530874099,0.206187707641196,0.17463393626184323,0.14333631484794276,0.11093023255813954,0.07969961240310078,0.047522750252780584,0.03171247357293869,0.014396456256921373,0.0069767441860465115,0.0009179926560587516,0.001614987080103359,0.0006839945280437756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.2888222055513878,0.2614341085271318,0.2329591018444266,0.20556478405315615,0.17506459948320413,0.1440071556350626,0.11023255813953488,0.08212209302325581,0.04954499494438827,0.033562367864693445,0.011627906976744186,0.006686046511627907,0.0027539779681762548,0.002583979328165375,0.0006839945280437756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.2888222055513878,0.2624031007751938,0.23356054530874099,0.20348837209302326,0.17420327304048233,0.14221824686940965,0.11116279069767442,0.07994186046511628,0.05232558139534884,0.0330338266384778,0.013289036544850499,0.006686046511627907,0.0033659730722154224,0.00032299741602067185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_application,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878
pct_interview_given_application,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878
pct_interview_given_application,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878
pct_interview_given_application,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878
pct_interview_given_application,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878
pct_interview_given_application,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878
pct_interview_given_application,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878,0.2888222055513878
