Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
pct_interview_given_nosignal,0.07085346215780998,0.03588886030357602,0.007224080267558528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.07085346215780998,0.03614612811937227,0.005618729096989967,0.0002787068004459309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.07085346215780998,0.03537432467198354,0.006153846153846154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.07085346215780998,0.035245690764085416,0.0049498327759197325,0.0002787068004459309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.07085346215780998,0.03511705685618729,0.0050836120401337795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_application,0.07085346215780998,0.07085346215780998,0.07085346215780998,0.07085346215780998,0.07085346215780998,0.07085346215780998,0.07085346215780998,0.07085346215780998,0.07085346215780998,0.07085346215780998,0.07085346215780998,0.07085346215780998,0.07085346215780998,0.07085346215780998,0.07085346215780998,0.07085346215780998,0.07085346215780998,0.07085346215780998,0.07085346215780998,0.07085346215780998,0.07085346215780998,0.07085346215780998,0.07085346215780998,0.07085346215780998,0.07085346215780998,0.07085346215780998,0.07085346215780998
pct_interview_given_application,0.07085346215780998,0.07085346215780998,0.07085346215780998,0.07085346215780998,0.07085346215780998,0.07085346215780998,0.07085346215780998,0.07085346215780998,0.07085346215780998,0.07085346215780998,0.07085346215780998,0.07085346215780998,0.07085346215780998,0.07085346215780998,0.07085346215780998,0.07085346215780998,0.07085346215780998,0.07085346215780998,0.07085346215780998,0.07085346215780998,0.07085346215780998,0.07085346215780998,0.07085346215780998,0.07085346215780998,0.07085346215780998,0.07085346215780998,0.07085346215780998
pct_interview_given_application,0.07085346215780998,0.07085346215780998,0.07085346215780998,0.07085346215780998,0.07085346215780998,0.07085346215780998,0.07085346215780998,0.07085346215780998,0.07085346215780998,0.07085346215780998,0.07085346215780998,0.07085346215780998,0.07085346215780998,0.07085346215780998,0.07085346215780998,0.07085346215780998,0.07085346215780998,0.07085346215780998,0.07085346215780998,0.07085346215780998,0.07085346215780998,0.07085346215780998,0.07085346215780998,0.07085346215780998,0.07085346215780998,0.07085346215780998,0.07085346215780998
pct_interview_given_application,0.07085346215780998,0.07085346215780998,0.07085346215780998,0.07085346215780998,0.07085346215780998,0.07085346215780998,0.07085346215780998,0.07085346215780998,0.07085346215780998,0.07085346215780998,0.07085346215780998,0.07085346215780998,0.07085346215780998,0.07085346215780998,0.07085346215780998,0.07085346215780998,0.07085346215780998,0.07085346215780998,0.07085346215780998,0.07085346215780998,0.07085346215780998,0.07085346215780998,0.07085346215780998,0.07085346215780998,0.07085346215780998,0.07085346215780998,0.07085346215780998
pct_interview_given_application,0.07085346215780998,0.07085346215780998,0.07085346215780998,0.07085346215780998,0.07085346215780998,0.07085346215780998,0.07085346215780998,0.07085346215780998,0.07085346215780998,0.07085346215780998,0.07085346215780998,0.07085346215780998,0.07085346215780998,0.07085346215780998,0.07085346215780998,0.07085346215780998,0.07085346215780998,0.07085346215780998,0.07085346215780998,0.07085346215780998,0.07085346215780998,0.07085346215780998,0.07085346215780998,0.07085346215780998,0.07085346215780998,0.07085346215780998,0.07085346215780998
