Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
pct_interview_given_nosignal,0.3301228972369912,0.3045104286715025,0.27725630074623364,0.2480292861500915,0.21618873296725646,0.1821365095365679,0.1455294248155749,0.10479676922629942,0.06357535082367297,0.027632381747535403,0.009609517998779744,0.0018483293256289703,1.9066503965832824e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.3301228972369912,0.30465731136872076,0.2773267001454921,0.24771201952410007,0.2160489119381737,0.18220282781123168,0.14508569526873372,0.1052180481710683,0.06420073215375229,0.026925917600590862,0.008389261744966443,0.002350787783081506,0.00026693105552165957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.3301228972369912,0.30456692201658647,0.27731496691228236,0.24763880414887127,0.21640482001220257,0.18184470912804732,0.14534915968717066,0.1051163601499172,0.06310250152532032,0.030201342281879196,0.008219781709714595,0.0015612102070846642,0.00043852959121415495,2.033760423022168e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.3301228972369912,0.30443133798838495,0.2771976345801849,0.24800488102501525,0.21622686597518812,0.1818845000928456,0.14522436075212158,0.10562480025567274,0.06349908480780964,0.027343373687421728,0.00852484577316792,0.0017765495459928938,0.00019066503965832826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.3301228972369912,0.30446523399543535,0.2772797672126531,0.24790726052471018,0.21637939800691477,0.18244157360002122,0.14509956181707248,0.10501467212876608,0.06328553996339231,0.029334318101538165,0.008151989695613857,0.0013099809783583963,0.0006673276388041489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.3301228972369912,0.3047928953969222,0.27733843337870184,0.2480292861500915,0.2162522879804759,0.18226914608589542,0.14561262410560763,0.10539237049304163,0.06317876754118365,0.029205870074820974,0.007287641515829436,0.0016688798765387791,0.00026693105552165957,2.033760423022168e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.3301228972369912,0.3044991300024857,0.27715070164734595,0.24807809640024406,0.21665904006508033,0.18217630050136616,0.14547395862221976,0.10530520933205496,0.06372788285539964,0.028611797951253973,0.00891464985424717,0.0015073753723576068,0.00036226357535082366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.3301228972369912,0.3044991300024857,0.2771389684141362,0.2480170835875534,0.21646837502542202,0.18232220070562644,0.14550169171889732,0.1053778436328772,0.06298047589993899,0.028354901897819595,0.008135041692088672,0.0022969529483544485,0.00017159853569249543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_application,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912
pct_interview_given_application,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912
pct_interview_given_application,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912
pct_interview_given_application,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912
pct_interview_given_application,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912
pct_interview_given_application,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912
pct_interview_given_application,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912
pct_interview_given_application,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912
pct_interview_given_application,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912
pct_interview_given_application,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912,0.3301228972369912
pct_of_app_match_via_signal_given_matched,0.0,0.9692460317460317,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.9692765113974232,0.9990069513406157,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.9682539682539683,0.9965208747514911,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.9711442786069652,0.9995042141794744,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.969727047146402,0.9995027349577325,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.9717542120911794,0.9965260545905708,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.970734126984127,1.0,0.9990089197224975,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.9766169154228855,0.999008428358949,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.9686567164179104,0.9985126425384234,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.9692001987083955,0.9995034756703078,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
