Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
pct_interview_given_nosignal,0.15738224637681159,0.12944132772323516,0.1,0.06915292353823088,0.03823757763975155,0.016170155662909285,0.005086399108138239,0.0007971014492753623,0.0,0.0001575299306868305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.15738224637681159,0.12914913510986442,0.1,0.06884057971014493,0.03862577639751553,0.015968867418142782,0.005156075808249721,0.0009420289855072464,0.00037741545893719806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.15738224637681159,0.12955820476858346,0.09993961352657005,0.06884057971014493,0.039013975155279504,0.016841116478797637,0.0039018952062430325,0.0013043478260869566,0.00015096618357487922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.15738224637681159,0.12955820476858346,0.09969806763285025,0.06859070464767617,0.03894927536231884,0.014828234031132582,0.004668338907469342,0.0010144927536231885,0.00030193236714975844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_application,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159
pct_interview_given_application,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159
pct_interview_given_application,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159
pct_interview_given_application,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159
pct_interview_given_application,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159
pct_interview_given_application,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159
pct_interview_given_application,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159
pct_interview_given_application,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159
pct_interview_given_application,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159
pct_interview_given_application,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159,0.15738224637681159
pct_of_app_match_via_signal_given_matched,0.0,0.9703703703703703,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.9456521739130435,0.9963636363636363,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.9454545454545454,0.9927536231884058,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.9496402877697842,0.9891696750902527,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.959409594095941,0.9928057553956835,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.966789667896679,0.9964028776978417,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.9528985507246377,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.9676258992805755,0.9964028776978417,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.9555555555555556,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
