n_programs,n_applicants,spots_per_program,interviews_per_spot,simulations_per_s,max_applications,study_min_signal,study_max_signal,result_file_prefix,best_signal_rpp,mean_reviews_per_program_best_rpp,mean_unmatched_applicants_best_rpp,mean_unfilled_spots_best_rpp,best_signal_ua,mean_reviews_per_program_best_ua,mean_unmatched_applicants_best_ua,mean_unfilled_spots_best_ua,best_signal_ufs,mean_reviews_per_program_best_ufs,mean_unmatched_applicants_best_ufs,mean_unfilled_spots_best_ufs
213,5460,7,10,20,48,3,40,heatmap_np213_pos1664_sppcalc7_na5460_ips10_ma48,4,102.5352112676056,3969.0,0.0,3,297.9436619718309,3969.0,0.0,3,297.9436619718309,3969.0,0.0
658,17040,4,7,20,27,3,24,heatmap_np658_pos3081_sppcalc4_na17040_ips7_ma27,3,77.6899696048632,14408.0,0.0,3,77.6899696048632,14408.0,0.0,3,77.6899696048632,14408.0,0.0
658,17040,4,7,20,27,3,24,heatmap_np658_pos3081_sppcalc4_na17040_ips7_ma27,3,77.6899696048632,14408.0,0.0,3,77.6899696048632,14408.0,0.0,3,77.6899696048632,14408.0,0.0
420,1005,9,5,20,20,3,17,heatmap_np420_pos3984_sppcalc9_na1005_ips5_ma20,17,46.02964285714286,0.0,2775.0,3,47.85714285714286,0.0,2775.0,3,47.85714285714286,0.0,2775.0
420,1005,9,5,20,20,3,17,heatmap_np420_pos3984_sppcalc9_na1005_ips5_ma20,17,46.02964285714286,0.0,2775.0,3,47.85714285714286,0.0,2775.0,3,47.85714285714286,0.0,2775.0
777,3851,11,9,20,57,3,40,heatmap_np777_pos8758_sppcalc11_na3851_ips9_ma57,24,123.03288288288286,35.4,4731.4,4,282.5057915057915,0.0,4696.0,4,282.5057915057915,0.0,4696.0
777,3851,11,9,20,57,3,40,heatmap_np777_pos8758_sppcalc11_na3851_ips9_ma57,24,123.03288288288286,35.4,4731.4,4,282.5057915057915,0.0,4696.0,4,282.5057915057915,0.0,4696.0
772,17656,7,8,20,64,3,40,heatmap_np772_pos5992_sppcalc7_na17656_ips8_ma64,4,91.48186528497408,12252.0,0.0,3,135.94922279792743,12252.0,0.0,3,135.94922279792743,12252.0,0.0
772,17656,7,8,20,64,3,40,heatmap_np772_pos5992_sppcalc7_na17656_ips8_ma64,4,91.48186528497408,12252.0,0.0,3,135.94922279792743,12252.0,0.0,3,135.94922279792743,12252.0,0.0
309,14259,29,9,20,15,3,12,heatmap_np309_pos9178_sppcalc29_na14259_ips9_ma15,7,323.0766990291262,5298.0,0.0,3,692.1844660194176,5298.0,0.0,3,692.1844660194176,5298.0,0.0
309,14259,29,9,20,15,3,12,heatmap_np309_pos9178_sppcalc29_na14259_ips9_ma15,7,323.0766990291262,5298.0,0.0,3,692.1844660194176,5298.0,0.0,3,692.1844660194176,5298.0,0.0
55,2260,93,13,20,37,3,34,heatmap_np55_pos5160_sppcalc93_na2260_ips13_ma37,26,1171.0909090909088,0.0,2855.0,3,1520.3636363636365,0.0,2855.0,3,1520.3636363636365,0.0,2855.0
55,2260,93,13,20,37,3,34,heatmap_np55_pos5160_sppcalc93_na2260_ips13_ma37,26,1171.0909090909088,0.0,2855.0,3,1520.3636363636365,0.0,2855.0,3,1520.3636363636365,0.0,2855.0
644,616,11,13,20,7,3,4,heatmap_np644_pos7295_sppcalc11_na616_ips13_ma7,3,6.695652173913044,0.0,6468.0,3,6.695652173913044,0.0,6468.0,3,6.695652173913044,0.0,6468.0
644,616,11,13,20,7,3,4,heatmap_np644_pos7295_sppcalc11_na616_ips13_ma7,3,6.695652173913044,0.0,6468.0,3,6.695652173913044,0.0,6468.0,3,6.695652173913044,0.0,6468.0
84,15344,46,18,20,35,3,32,heatmap_np84_pos3925_sppcalc46_na15344_ips18_ma35,5,917.3517857142856,11480.0,0.0,3,6393.333333333332,11480.0,0.0,3,6393.333333333332,11480.0,0.0
84,15344,46,18,20,35,3,32,heatmap_np84_pos3925_sppcalc46_na15344_ips18_ma35,5,917.3517857142856,11480.0,0.0,3,6393.333333333332,11480.0,0.0,3,6393.333333333332,11480.0,0.0
216,7361,19,15,20,6,3,3,heatmap_np216_pos4272_sppcalc19_na7361_ips15_ma6,3,204.47222222222223,3257.0,0.0,3,204.47222222222223,3257.0,0.0,3,204.47222222222223,3257.0,0.0
216,7361,19,15,20,6,3,3,heatmap_np216_pos4272_sppcalc19_na7361_ips15_ma6,3,204.47222222222223,3257.0,0.0,3,204.47222222222223,3257.0,0.0,3,204.47222222222223,3257.0,0.0
540,3253,16,7,20,29,3,26,heatmap_np540_pos8763_sppcalc16_na3253_ips7_ma29,21,130.4327777777778,4.7,5391.7,4,174.6981481481481,0.0,5387.0,4,174.6981481481481,0.0,5387.0
540,3253,16,7,20,29,3,26,heatmap_np540_pos8763_sppcalc16_na3253_ips7_ma29,21,130.4327777777778,4.7,5391.7,4,174.6981481481481,0.0,5387.0,4,174.6981481481481,0.0,5387.0
603,323,15,12,20,25,3,22,heatmap_np603_pos9067_sppcalc15_na323_ips12_ma25,3,13.391376451077942,0.0,8722.0,3,13.391376451077942,0.0,8722.0,3,13.391376451077942,0.0,8722.0
603,323,15,12,20,25,3,22,heatmap_np603_pos9067_sppcalc15_na323_ips12_ma25,3,13.391376451077942,0.0,8722.0,3,13.391376451077942,0.0,8722.0,3,13.391376451077942,0.0,8722.0
558,3370,2,14,20,23,3,20,heatmap_np558_pos1314_sppcalc2_na3370_ips14_ma23,6,42.931541218638,2254.0,0.0,3,136.94632616487456,2254.0,0.0,3,136.94632616487456,2254.0,0.0
558,3370,2,14,20,23,3,20,heatmap_np558_pos1314_sppcalc2_na3370_ips14_ma23,6,42.931541218638,2254.0,0.0,3,136.94632616487456,2254.0,0.0,3,136.94632616487456,2254.0,0.0
450,5645,6,10,20,49,3,40,heatmap_np450_pos2797_sppcalc6_na5645_ips10_ma49,7,88.1088888888889,2945.0,0.0,3,614.4192222222221,2945.0,0.0,3,614.4192222222221,2945.0,0.0
450,5645,6,10,20,49,3,40,heatmap_np450_pos2797_sppcalc6_na5645_ips10_ma49,7,88.1088888888889,2945.0,0.0,3,614.4192222222221,2945.0,0.0,3,614.4192222222221,2945.0,0.0
792,400,6,9,20,67,3,40,heatmap_np792_pos5395_sppcalc6_na400_ips9_ma67,3,33.83838383838384,0.0,4352.0,3,33.83838383838384,0.0,4352.0,3,33.83838383838384,0.0,4352.0
792,400,6,9,20,67,3,40,heatmap_np792_pos5395_sppcalc6_na400_ips9_ma67,3,33.83838383838384,0.0,4352.0,3,33.83838383838384,0.0,4352.0,3,33.83838383838384,0.0,4352.0
131,13358,37,14,20,64,3,40,heatmap_np131_pos4948_sppcalc37_na13358_ips14_ma64,6,611.8167938931297,8511.0,0.0,3,6526.045801526719,8511.0,0.0,3,6526.045801526719,8511.0,0.0
131,13358,37,14,20,64,3,40,heatmap_np131_pos4948_sppcalc37_na13358_ips14_ma64,6,611.8167938931297,8511.0,0.0,3,6526.045801526719,8511.0,0.0,3,6526.045801526719,8511.0,0.0
699,9449,4,19,20,38,3,35,heatmap_np699_pos3295_sppcalc4_na9449_ips19_ma38,7,103.59678111587982,6653.0,0.0,3,513.6795422031471,6653.0,0.0,3,513.6795422031471,6653.0,0.0
699,9449,4,19,20,38,3,35,heatmap_np699_pos3295_sppcalc4_na9449_ips19_ma38,7,103.59678111587982,6653.0,0.0,3,513.6795422031471,6653.0,0.0,3,513.6795422031471,6653.0,0.0
90,17590,90,9,20,62,3,40,heatmap_np90_pos8123_sppcalc90_na17590_ips9_ma62,5,977.2222222222224,9490.0,0.0,3,12117.555555555557,9490.0,0.0,3,12117.555555555557,9490.0,0.0
