Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13
pct_interview_given_nosignal,0.7294164668265388,0.7091393551825207,0.685832286551711,0.6599233433765808,0.630029309885425,0.5965167260131289,0.5549427124966694,0.5065281108446577,0.44640953903543834,0.3697613337901108,0.2716049382716049,0.15630162536637357,0.0517585931254996,0.013145039523936407
pct_interview_given_nosignal,0.7294164668265388,0.7088196109778844,0.6858893837311103,0.6602717825739408,0.6312061461941558,0.5962502725092653,0.55603517186251,0.5064985048997839,0.4466759925393019,0.36972326900384456,0.270938804511946,0.1490540900612843,0.055422328803623765,0.01332267519317879
pct_interview_given_nosignal,0.7294164668265388,0.7086597388755662,0.6856419626203799,0.6601897968804443,0.6310951239008793,0.5970011869292445,0.5557687183586464,0.5067057465139,0.4463429256594724,0.36911423242358493,0.2708943955946354,0.15347721822541965,0.054090061284305886,0.011368682831512567
pct_interview_given_nosignal,0.7294164668265388,0.70938804511946,0.6861368048418408,0.6600668183401996,0.6302957633892886,0.5954751350434804,0.5555022648547828,0.5073274713562483,0.44581001865174524,0.3696090746450459,0.2712496669331202,0.14788169464428458,0.06035171862509992,0.009237054800603961
pct_interview_given_nosignal,0.7294164668265388,0.7088018474109601,0.6858132541585779,0.6603537682674373,0.6311617372768452,0.596177603371848,0.5560085265121236,0.5059063860023093,0.446576072475353,0.3692284267823836,0.27147171151967314,0.15342392752464695,0.061484146016520115,0.011191047162270184
pct_interview_given_nosignal,0.7294164668265388,0.708872901678657,0.6864222907388375,0.6598618541064584,0.6305400124344969,0.5959111498679844,0.5559552358113509,0.5061728395061729,0.4461097788435918,0.3705226295154353,0.2719602096100897,0.15209166000532906,0.05975219824140687,0.013145039523936407
pct_interview_given_nosignal,0.7294164668265388,0.708872901678657,0.6866126146701687,0.6598003648363361,0.6310063060662581,0.5962260494634596,0.5540900612843059,0.5067649584036474,0.4465427657873701,0.3708271478055651,0.2697841726618705,0.15337063682387422,0.062816413535838,0.010480504485300648
pct_interview_given_nosignal,0.7294164668265388,0.7091038280486722,0.6862700315937726,0.6599438397999549,0.6303845812239097,0.5959353729137902,0.5568345323741007,0.5070018059626373,0.4466759925393019,0.369799398576377,0.27187139177546854,0.14996003197442045,0.05695443645083933,0.012967403854694023
pct_interview_given_nosignal,0.7294164668265388,0.7090327737809752,0.6863080963800389,0.6600668183401996,0.6308730793143263,0.595523581135092,0.5553690381028511,0.5073274713562483,0.44747535305089264,0.3697613337901108,0.2717825739408473,0.1490540900612843,0.051159072741806554,0.012612132516209254
pct_interview_given_application,0.7294164668265388,0.7294164668265388,0.7294164668265388,0.7294164668265388,0.7294164668265388,0.7294164668265388,0.7294164668265388,0.7294164668265388,0.7294164668265388,0.7294164668265388,0.7294164668265388,0.7294164668265388,0.7294164668265388,0.7294164668265388
pct_interview_given_application,0.7294164668265388,0.7294164668265388,0.7293831601385559,0.7294164668265388,0.7294164668265388,0.7294164668265388,0.7294164668265388,0.7294164668265388,0.7294164668265388,0.7294164668265388,0.7294164668265388,0.7294164668265388,0.7294164668265388,0.7294164668265388
pct_interview_given_application,0.7294164668265388,0.7294164668265388,0.7294164668265388,0.7294164668265388,0.7294164668265388,0.7294164668265388,0.7294164668265388,0.7294164668265388,0.7294164668265388,0.7294164668265388,0.7294164668265388,0.7294164668265388,0.7294164668265388,0.7294164668265388
pct_interview_given_application,0.7294164668265388,0.7294164668265388,0.7294164668265388,0.7294164668265388,0.7294164668265388,0.7294164668265388,0.7294164668265388,0.7294164668265388,0.7294164668265388,0.7294164668265388,0.7294164668265388,0.7294164668265388,0.7294164668265388,0.7294164668265388
pct_interview_given_application,0.7294164668265388,0.7294164668265388,0.7294164668265388,0.7294164668265388,0.7294164668265388,0.7294164668265388,0.7294164668265388,0.7294164668265388,0.7294164668265388,0.7294164668265388,0.7294164668265388,0.7294164668265388,0.7294164668265388,0.7294164668265388
pct_interview_given_application,0.7294164668265388,0.7294164668265388,0.7294164668265388,0.7294164668265388,0.7294164668265388,0.7294164668265388,0.7294164668265388,0.7294164668265388,0.7294164668265388,0.7294164668265388,0.7294164668265388,0.7294164668265388,0.7294164668265388,0.7294164668265388
pct_interview_given_application,0.7294164668265388,0.7294164668265388,0.7294164668265388,0.7294164668265388,0.7294164668265388,0.7294164668265388,0.7294164668265388,0.7294164668265388,0.7294164668265388,0.7294164668265388,0.7294164668265388,0.7294164668265388,0.7294164668265388,0.7294164668265388
pct_interview_given_application,0.7294164668265388,0.7294164668265388,0.7294164668265388,0.7294164668265388,0.7294164668265388,0.7294164668265388,0.7294164668265388,0.7294164668265388,0.7294164668265388,0.7294164668265388,0.7294164668265388,0.7294164668265388,0.7294164668265388,0.7294164668265388
pct_interview_given_application,0.7294164668265388,0.7294164668265388,0.7294164668265388,0.7294164668265388,0.7294164668265388,0.7294164668265388,0.7294164668265388,0.7294164668265388,0.7294164668265388,0.7294164668265388,0.7294164668265388,0.7294164668265388,0.7294164668265388,0.7294164668265388
pct_interview_given_application,0.7294164668265388,0.7294164668265388,0.7294164668265388,0.7294164668265388,0.7294164668265388,0.7294164668265388,0.7294164668265388,0.7294164668265388,0.7294164668265388,0.7294164668265388,0.7294164668265388,0.7294164668265388,0.7294164668265388,0.7294164668265388
pct_of_app_match_via_signal_given_matched,0.0,0.9561643835616438,0.9832191780821918,0.9976010966415353,1.0,0.998972602739726,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.9606164383561644,0.986986301369863,0.9924631723192874,0.9986301369863013,0.999657416923604,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.9606164383561644,0.986986301369863,0.9917808219178083,0.9993150684931507,0.9993150684931507,0.9996575342465753,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.9486301369863014,0.9815068493150685,0.9969156956819739,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.9568493150684931,0.9876712328767123,0.9972593353888318,1.0,0.998972602739726,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
